PCT of bases in wgs with coverage [1500x:inf), 0.00
PCT of bases in wgs with coverage [1000x:1500x), 0.00
PCT of bases in wgs with coverage [500x:1000x), 0.00
PCT of bases in wgs with coverage [100x:500x), 0.06
PCT of bases in wgs with coverage [50x:100x), 10.84
PCT of bases in wgs with coverage [20x:50x), 79.20
PCT of bases in wgs with coverage [15x:20x), 2.43
PCT of bases in wgs with coverage [10x:15x), 1.10
PCT of bases in wgs with coverage [3x:10x), 0.77
PCT of bases in wgs with coverage [1x:3x), 0.50
PCT of bases in wgs with coverage [0x:1x), 5.11
